CustomerID,FirstName,LastName,Email,Address,City,PostalCode,RegistrationDate,LastLoginDate,CustomerSegment,DateOfBirth,Phone
C00021,Tracy,Hernandez,thernandez@iwantthis.com.ng,763 Kelly Knoll,Port Harcourt,,01/08/2024,10/18/2024 10:20,Gold,01/01/1900,7183435423
C00022,Eric,Berry,eric.berry@beta.ng,1803 Freeman Brook Suite 526,Port Harcourt,244627,17/03/2025,3/22/2025 13:26,bronze,03/03/1945,
C00023,Rebecca,Silva,rsilva@techie.com,969 Hall Plaza,Port Harcourt,645346,30/01/2024,01/03/2025 04:14,VIP,26/10/1989,8163053709
C00024,Cesar,Stewart,cesar.stewart@mail.ng,5213 Amy Lane,Lagos,949833,20/01/2025,03/02/2025 19:50,,17/08/1948,9144042918
C00025,Kim,Howard,kimhoward@mail.com,"5129 Ferguson Forge, Lagos",Lagos,487675,21/02/2024,03/02/2024 21:34, Standard ,24/01/1967,8292910800
C00026,Victoria,Rice,victoria.rice@yahoo.com,"5000 Nelson Pine, FCT",Abuja,998134,29/03/2025,,Silver,01/01/1900,8004246487
C00027,Alfred,Miller,miller.a@gmail.com,671 Anthony Summit,Port Harcourt,842039,02/04/2024,1/30/2025 23:43,Silver,24/03/1999,7124313623
C00028,Anna,Bentley,annabentley@outlook.com,7359 Harvey Key Suite 468,Lagos,833009,07/04/2025,4/28/2025 10:18,Standard,27/10/2001,7001214638
C00029,Jennifer,Rice,jennifer_rice@techie.com,3825 Jennifer Mountain,Lagos,171849,28/11/2023,,standard,26/09/1960,
C00030,Linda,Brown,lindabrown@workmail.com,42054 Austin Mission,Abuja,330197,13/10/2024,3/29/2025 3:04,Gold,30/10/1993,8066908371
C00031,Luis,Stafford,luis_stafford@yahoo.com,2494 Derek Islands,Port Harcourt,196508,18/12/2023,02/08/2024 20:31,Platinum,01/01/1900,9054825901
C00032,Angela,Phillips,aphillips@hotmail.com,0568 Smith Courts,Port Harcourt,368288,02/08/2024,10/11/2024 02:24,standard,,8298089021
C00033,Valerie,Sanchez,valerie_sanchez@gmail.com,"249 Diaz Freeway, Lagos",Lagos,454706,26/02/2025,,Silver,08/02/1989,9064464424
C00034,Lisa,Bridges,lisa_bridges@aol.com,46324 Erika Groves,Port Harcourt,585579,12/09/2024,4/30/2025 11:25,Standard,06/11/1967,7029628549
C00035,Nancy,Carr,carr.n@yahoo.com,"63919 Lester Skyway Apt. 393, Rivers",Port Harcourt,190045,25/04/2025,,VIP,01/07/1943,8111220615
C00036,Robin,Frey,robin.frey@hotmail.com,"0117 Rhonda Locks Apt. 475, FCT",Abuja,410479,11/06/2024,08/10/2024 12:28,,12/01/1972,7020743503
C00037,Jamie,Kidd,jamiekidd@engineer.com,9510 Jason Locks Apt. 776,Lagos,310869,04/09/2024,,New,24/07/1960,9120587747
C00038,Tyler,Wilkins,tyler.wilkins@aol.com,44095 Dunn Curve Apt. 010,Port Harcourt,769907,06/03/2024,,VIP,06/03/1995,9080830025
C00039,Heather,Whitehead,heather_whitehead@aol.com,99382 Garcia Port,Port Harcourt,405930,13/01/2024,11/15/2024 22:48,VIP,01/01/1900,8053947364
C00040,Stephanie,Curry,stephanie.curry@hotmail.com,1384 Short Mills Apt. 743,Port Harcourt,683369,06/03/2025,04/06/2025 20:51,Platinum,01/01/1900,8284246829
C00041,Sara,Jones,sara_jones@engineer.com,"6753 Edwards Throughway, FCT",Abuja,933652,25/10/2023,08/10/2024 02:27,,24/03/1975,8018680043
C00042,Jonathon,Richard,richard.j@outlook.com,708 Karen Stravenue Apt. 058,Port Harcourt,210956,04/09/2024,,Silver,07/11/1975,
C00043,Dana,Martin,dana_martin@aol.com,93420 Nelson Village Apt. 905,Port Harcourt,183769,26/10/2024,05/03/2025 18:34,Standard,,9120610898
C00044,Jennifer,Young,jennifer.young@iwantthis.com.ng,596 Martinez Tunnel,Port Harcourt,889435,20/12/2024,03/05/2025 00:55,Gold,,
C00045,Joel,Mitchell,jmitchell@hotmail.com,"266 Catherine Glens Apt. 308, FCT",Abuja,646300,23/12/2024,,,05/05/1996,9014108572
C00046,Joseph,Flores,jflores@yahoo.com,76001 Shane Oval Apt. 144,Port Harcourt,494249,11/05/2025,,VIP,12/01/1965,7179863683
C00047,Sabrina,Cannon,sabrinacannon@yahoo.com,"20505 Mueller Stravenue, FCT",Abuja,910545,06/05/2024,3/20/2025 21:55,VIP,15/05/1947,9137109439
C00048,Justin,Taylor,justintaylor@yahoo.com,900 Kevin Island Suite 097,Calabar,644894,11/09/2024,5/14/2025 19:24,Standard,22/04/1942,-5314
C00049,David,Merritt,dmerritt@yahoo.com,"634 Ritter Orchard Apt. 388, Enugu",Enugu,775369,10/01/2024,06/04/2024 09:21,Platinum,01/01/1900,700-569-5978
C00050,Kim,Cortez,kim.cortez@outlook.com,22053 Johnson Prairie Suite 914,Lagos,988094,28/04/2024,11/09/2024 07:21,,,8119944783
C00051,Nicole,Sullivan,nicole.sullivan@hotmail.com,3449 Gray Lane,Lagos,689965,18/12/2023,6/21/2024 0:39,Bronze,01/01/1900,8113242166
C00052,Elizabeth,Hicks,elizabeth.hicks@engineer.com,693 Hampton Rue Suite 876,Lagos,466628,20/10/2023,07/11/2024 12:21,Bronze,19/05/1992,9194844448
C00053,Nathan,Williams,nwilliams@beta.ng,497 Angela Lights,Abuja,517944,07/03/2025,4/24/2025 22:17,,22/11/1976,9173875965
C00054,James,Wong,wong.j@yahoo.com,5763 Morgan Villages Suite 070,Abuja,861118,07/10/2024,1/25/2025 1:58,,25/02/1944,9175912380
C00055,Lisa,Rich,lisa_rich@yahoo.com,8874 Jerry Vista Apt. 701,Jos,366307,25/04/2025,5/14/2025 6:16,Standard,12/06/2001,7006485362
C00056,Ashley,Hamilton,ashley.hamilton@yahoo.com,1662 Porter Plaza Suite 677,Abuja,683960,24/12/2023,,,28/11/1969,9194674328
C00057,Amy,Patel,apatel@outlook.com,"313 Ramirez Gardens, Lagos",Lagos,295153,29/02/2024,03/05/2024 20:52,,19/01/1969,9018982954
C00058,Troy,Jones,troy.jones@outlook.com,"1465 Kristy Pass Suite 334, Lagos",Lagos,206311,11/12/2024,,Silver,21/03/1972,7118870929
C00059,Alison,Benson,abenson@yahoo.com,7946 Timothy Squares Suite 211,Owerri,376159,21/03/2024,,Platinum,11/04/1987,7052201747
C00060,Ariana,Rodriguez,ariana.rodriguez@outlook.com,8530 Good Green Apt. 899,Abuja,,27/09/2024,1/24/2025 16:49,VIP,22/04/1985,7029079888
C00061,Robert,Wallace,robert.wallace@aol.com,"847 Sloan Crest, Rivers",Port Harcourt,642789,29/04/2024,01/07/2025 07:07,Silver,19/05/1956,9118430000
C00062,Patricia,Gordon,patricia.gordon@aol.com,"64871 Margaret Knolls Suite 888, Rivers",Port Harcourt,892796,29/06/2024,03/05/2025 02:08,standard,02/05/1956,7122090929
C00063,William,Buckley,williambuckley@aol.com,564 Courtney Mission,Port Harcourt,303967,05/03/2025,4/21/2025 13:31,Bronze,17/01/1960,8187001680
C00064,Patricia,Moody,patricia.moody@mail.com,"559 Sandra Course Apt. 322, Rivers (old)",Port Harcourt,756890,16/09/2023,9/26/2023 8:21,Standard,26/03/2006,7091057310
C00065,Matthew,Goodwin,matthew.goodwin@hotmail.com,77239 Kimberly Spring Suite 272,Abuja,666887,09/07/2024,3/27/2025 3:12,Bronze,05/09/1986,
C00066,Austin,Rodriguez,austinrodriguez@hotmail.com,4652 Walter Drives,Abuja,418528,29/05/2024,1/30/2025 4:02,,08/03/1945,9125621965
C00067,Katherine,Torres,katherine.torres@yahoo.com,"1521 Jimenez Mountains Suite 448, Rivers",Port Harcourt,769570,24/08/2024,12/04/2024 16:30,Bronze,01/01/1900,9055128285
C00068,James,Joseph,jjoseph@hotmail.com,"182 Alexander Harbors Apt. 869, Lagos",Lagos,444128,26/01/2024,2/20/2025 10:52,VIP,01/01/1900,9137459543
C00069,Kathleen,Bond,kathleen.bond@mail.com,"69849 Ibarra Tunnel, Lagos",Lagos,218081,14/05/2024,2/19/2025 16:29,Standard,,8112027032
C00070,Rodney,Stevens,rodney.stevens@beta.ng,"754 Reed Ports Suite 964, Lagos",Lagos,,29/01/2025,05/11/2025 06:18,,27/09/1935,8229603892
C00071,Tony,Burke,tony.burke@gmail.com,"96544 Phillip Plain, FCT",Abuja,751443,15/12/2023,3/18/2024 18:30,,18/08/1997,7094894637
C00072,Christina,Johnson,christina.johnson@mail.com,01039 Harrison Shore,Lagos,953964,04/10/2024,3/19/2025 6:04,New,20/11/1950,8149966137
C00073,Scott,Gonzalez,scott.gonzalez@beta.ng,4721 Coleman Junction,Port Harcourt,702191,02/11/2024,12/15/2024 23:14,standard,25/05/1962,8096051251
C00074,David,Snow,dsnow@gmail.com,"908 Michael Tunnel, Rivers",Port Harcourt,443039,14/05/2024,11/22/2024 5:59,,04/11/1935,7098549546
C00075,Ryan,Moreno,ryanmoreno@techie.com,818 Margaret Island Apt. 009,Jos,627068,21/04/2025,,,22/09/1989,9164368738
C00076,Mary,Long,mary.long@hotmail.com,535 Black Valleys,Lagos,597054,09/06/2024,8/25/2024 17:35,,27/10/1950,9010719583
C00077,Brian,Schneider,brian.schneider@aol.com,"1825 May Ridges Apt. 173, Rivers",Port Harcourt,564606,09/10/2024,,VIP,24/06/1951,7173875631
C00078,Tina,Moore,tina_moore@gmail.com,"3291 Williams Meadows Apt. 696, Enugu",Enugu,451526,20/03/2024,,Silver,06/06/1994,9172366440
C00079,Bob,Padilla,bob.padilla@gmail.com,63355 Trevino Club,Abuja,176577,02/02/2025,4/29/2025 5:38,Bronze,,8004868474
C00080,Judy,Morrison,morrison.j@aol.com,354 Lopez Passage Apt. 527,Port Harcourt,755566,28/10/2024,,VIP,10/08/1972,7158128442
C00081,Emily,Williams,emily.williams@yahoo.com,"0090 Moody Island Apt. 107, Edo",Benin City,913860,21/06/2024,11/29/2024 11:41,New,26/06/1973,9087382420
C00082,John,Miller,miller.j@mail.com,299 Sarah Views,Abuja,665513,20/11/2024,02/04/2025 07:16,Bronze,27/11/1956,7187891658
C00083,Lauren,White,laurenwhite@aol.com,2699 Brian Mountain,Port Harcourt,947161,08/11/2024,,standard,25/11/2001,9073977221
C00084,Jose,Allen,jose.allen@hotmail.com,"0991 Wallace Points Suite 013, Rivers",Port Harcourt,727118,05/03/2024,12/21/2024 3:30,Gold,30/08/1973,9162031996
C00085,Anthony,Williamson,anthonywilliamson@yahoo.com,11573 Tanya Villages Suite 289,Lagos,811815,01/02/2025,3/28/2025 7:34,Standard,05/12/2001,7118721035
C00086,Jeffrey,Jones,jeffreyjones@outlook.com,7742 Stewart Roads,Warri,429368,20/11/2024,12/26/2024 17:42,Gold,01/01/1900,9153815949
C00087,Michael,Morris,michaelmorris@outlook.com,1832 Donald Extensions,Lagos,420190,20/01/2025,2/15/2025 22:36,New,25/04/2005,8036578415
C00088,Dylan,Adkins,dylan.adkins@iwantthis.com.ng,"336 Carpenter Greens Suite 076, FCT",Abuja,937841,23/11/2024,2/27/2025 11:47,Silver,03/02/1964,7156630200
C00089,Donna,Reeves,donnareeves@hotmail.com,75492 Moore Route,Port Harcourt,553312,02/02/2024,5/29/2024 4:24,Bronze,01/08/1999,8071624940
C00090,Jacob,Hughes,jacob_hughes@aol.com,386 James Forge,Abuja,560366,02/11/2023,2/22/2024 21:51,standard,01/01/1900,8222501369
C00091,Brian,Jackson,brian.jackson@yahoo.com,"8692 Timothy Mountains, Rivers",Port Harcourt,968602,03/06/2024,2/21/2025 7:08,VIP,01/01/1900,8129187740
C00092,Cindy,Martinez,cmartinez@yahoo.com,"476 Oliver Points, Lagos",Lagos,735808,07/02/2025,4/17/2025 2:27,Silver,02/02/1966,-2500
C00093,Robert,Brewer,robert.brewer@mail.com,69735 Bates Bypass Suite 483,Calabar,510885,17/04/2024,02/08/2025 03:15,Standard,,9132616060
C00094,Lisa,Austin,lisaaustin@consultant.com,"293 David Underpass, Rivers",Port Harcourt,294846,04/02/2024,12/21/2024 13:08,New,15/04/1988,8144981877
C00095,Benjamin,Davis,bdavis@beta.ng,"9880 Richard Circles Suite 449, Enugu",Enugu,666762,09/04/2024,12/15/2024 6:13,standard,,9134305597
C00096,Rebecca,Strickland,strickland.r@gmail.com,"210 Le Terrace, Rivers",Port Harcourt,965465,13/07/2024,11/11/2024 09:33,Standard,10/06/2002,9019432948
C00097,Steven,Bell,stevenbell@mail.com,3419 Mason Causeway,Port Harcourt,619787,17/09/2024,10/22/2024 4:00,Standard,17/11/1977,8203428951
C00098,Dawn,Davis,,36435 DEBORAH ROW SUITE 812,Port Harcourt,454691,08/08/2024,2/13/2025 13:16,Gold,01/01/1900,7195028623
C00099,Jean,Jones,jean.jones@gmail.com,86394 Schroeder Junction Suite 322,Port Harcourt,450881,01/04/2025,05/04/2025 15:13,VIP,15/10/1983,8173014557
C00100,Barbara,Bailey,barbara_bailey@gmail.com,183 Megan Islands Suite 238,Port Harcourt,803433,25/12/2023,03/04/2024 23:42,Silver,13/07/1978,(488)394-8295x357
C00101,Ernest,Wilson,ernest.wilson@mail.com,"50058 Heidi Streets Apt. 664, Rivers",Port Harcourt,,11/12/2023,7/18/2024 3:52,Silver,09/02/2002,8106791577
C00102,Richard,Nelson,rnelson@yahoo.com,"78906 Alexandria Lake Suite 818, Lagos",Lagos,484822,07/02/2025,4/18/2025 15:56,,12/09/1976,9066398617
C00103,Suzanne,Delgado,suzanne.delgado@hotmail.com,"0541 Barron Spring, Rivers",Port Harcourt,257009,11/05/2025,5/15/2025 20:48,standard,17/10/1991,9040763533
C00104,Elizabeth,Shepherd,elizabeth.shepherd@yahoo.com,1809 Soto Canyon Apt. 034,Lagos,202974,06/11/2023,07/04/2024 22:54,Bronze,14/10/1978,8282761498
C00105,Rickey,Carr,rcarr@outlook.com,869 Williams Ford Suite 122 ,Lagos,,07/09/2024,4/17/2025 22:18,VIP,15/10/1964,8112166348
C00106,Christopher,Meyers,christopher.meyers@beta.ng,386 Stephen Crescent,Lagos,846401,06/09/2024,10/19/2024 23:39,Platinum,26/03/1961,9119794758
C00107,Christopher,May,christopher.may@yahoo.com,679 Soto Trail,Port Harcourt,507961,17/03/2024,,Silver,15/10/2000,8059705107
C00108,Richard,Turner,richardturner@yahoo.com,7735 Erin Glen Apt. 505,Benin City,295698,30/01/2025,,Gold,29/08/1973,(776)699-9106x2344
C00109,Terri,Parrish,terri.parrish@aol.com,3040 Hughes Rapids Suite 674,Lagos,188959,12/02/2025,3/27/2025 0:37,,12/04/1959,8016249834
C00110,Caitlin,Goodwin,caitlin.goodwin@techie.com,"3968 Thomas Fields Apt. 699, Rivers",Port Harcourt,180580,04/02/2024,2/25/2024 2:32,standard,19/03/1974,9027983033
C00111,Kimberly,Russell,kimberly.russell@gmail.com,7575 Randall Corners Apt. 799 ,Abuja,915906,03/10/2023,05/04/2024 10:35,Silver,08/01/1947,9067398255
C00112,Kevin,Jones,kevin.jones@aol.com,35607 Mitchell Prairie,Port Harcourt,310012,11/10/2023,04/12/2024 06:57,Standard,18/03/1992,(379)653-6846x953
C00113,Jonathan,Davis,jonathan.davis@aol.com,0098 Harris Valley Suite 281,Port Harcourt,319864,16/01/2025,03/07/2025 14:28,New,21/03/1952,9183499662
C00114,Samantha,Perez,perez.s@gmail.com,"485 Black Locks, Rivers",Port Harcourt,873795,27/12/2024,3/17/2025 0:51,,24/10/2004,8284406450
C00115,Autumn,Rowe,autumn.rowe@mail.ng,"29292 House Forges Suite 466, FCT",Abuja,909265,15/06/2024,,,21/01/1973,8127013384
C00116,Ann,Jones,annjones@aol.com,1784 Edwards Bridge Apt. 638,Port Harcourt,949336,07/05/2025,5/13/2025 20:05,Gold,15/08/1989,9183900335
C00117,James,Hernandez,,"410 Lori Bypass, Rivers",Port Harcourt,727058,28/01/2024,8/16/2024 22:21,Bronze,19/04/1958,9167859350
C00118,Rebecca,Anderson,rebecca.anderson@workmail.com,3868 Wilson Square Apt. 763,Lagos,318367,11/04/2025,05/07/2025 20:48,VIP,14/07/1973,
C00119,David,Davis,david.davis@outlook.com,20213 Crystal Parkways,Lagos,876712,02/12/2024,3/20/2025 0:33,Silver,29/08/1966,8059448242
C00120,Jay,Ward,jay.ward@mail.com,"0584 James Neck, Rivers",Port Harcourt,232834,10/03/2024,11/17/2024 6:14,BRONZE,09/11/1961,8169009065
C00121,Heather,Hendricks,heather.hendricks@aol.com,2188 Benjamin Mountains Suite 252,Abuja,179594,19/03/2025,04/09/2025 20:13,Bronze,01/01/1900,9135919017
C00122,Brian,Franklin,bfranklin@aol.com,9200 Cervantes Shoal Suite 698,Enugu,827647,24/07/2024,,Standard,11/03/1992,9040045920
C00123,Morgan,Rodriguez,mrodriguez@yahoo.com,"39044 Kristen Union, Rivers",Port Harcourt,207853,22/02/2025,,VIP,01/01/1900,8013736573
C00124,Mackenzie,Edwards,mackenzie.edwards@mail.com,630 Ryan Isle Suite 317,Calabar,712511,11/12/2024,,New,28/03/2001,477-212-1205
C00125,Steven,Ball,ball.s@iwantthis.com.ng,"59914 Hensley St.s, Kaduna",Kaduna,459761,03/10/2023,10/21/2023 22:35,SILVER,20/12/1962,9158397595
C00126,Mark,Young,mark.young@mail.com,"96814 Holly Highway Suite 347, Rivers",Port Harcourt,577547,25/03/2025,,,20/08/1937,8135560961
C00127,Karen,White,karen.white@gmail.com,41279 Berry Flat Suite 534,Lagos,245311,23/11/2024,5/16/2025 7:31,Silver,17/08/1969,-2219
C00128,Angela,Taylor,angelataylor@hotmail.com,"824 Duane Harbors Suite 330, Edo",Benin City,836953,29/10/2024,04/04/2025 07:05,standard,06/09/1937,7197898773
C00129,Paul,Williams,paulwilliams@aol.com,"393 Patel Parkway, FCT (old)",Abuja,826525,14/11/2024,12/04/2024 21:11,standard,01/01/1900,8228760366
C00130,Leah,Estes,estes.l@gmail.com,"11988 Jonathan Turnpike, Rivers",Port Harcourt,733001,11/09/2024,3/30/2025 4:52,Bronze,13/05/1955,8171165009
C00131,Samantha,Reyes,reyes.s@aol.com,893 Grace Curve,Port Harcourt,653650,05/05/2024,,Silver,,9107876094
C00132,Erik,Franco,efranco@yahoo.com,411 Ryan Road,Port Harcourt,825270,03/10/2024,,Silver,,8220897717
C00133,David,Williams,williams.d@gmail.com,65038 Silva Brook,Lagos,962421,11/07/2024,,Platinum,26/03/1980,8244219997
C00134,Robert,Sparks,,585 Sandy Spring,Port Harcourt,517140,07/08/2024,09/03/2024 13:10,Gold,01/01/1900,-2587
C00135,Leslie,Mora,mora.l@gmail.com,"970 Burnett Freeway Suite 359, FCT",Abuja,367636,20/05/2025,5/23/2025 0:40,New,20/03/1954,8232176758
C00136,Jennifer,Taylor,jennifer.taylor@mail.com,0151 Miller Ford Suite 635,Benin City,724725,19/11/2024,03/05/2025 02:47,Bronze,12/03/2004,8228338280
C00137,Ernest,Horne,ehorne@aol.com,463 Hines Manor Suite 160,Benin City,628156,13/11/2023,12/17/2023 9:38,Bronze,07/05/1953,9081150567
C00138,Corey,Sawyer,sawyer.c@outlook.com,383 Jones Plaza,Enugu,196370,05/12/2024,1/26/2025 3:09,Gold,05/10/2002,9094191877
C00139,James,Thomas,james.thomas@gmail.com,193 James Junction Apt. 436,Port Harcourt,543843,04/12/2023,10/09/2024 01:20,Bronze,30/03/2004,8152780833
C00140,Alexander,Smith,asmith@mail.com,82218 Michelle Island Suite 126,Port Harcourt,684911,23/03/2024,11/25/2024 23:24,standard,01/01/1900,8275821435
C00141,Charles,Harrell,charrell@gmail.com,581 Glover Mountains,Port Harcourt,642574,18/09/2024,04/05/2025 21:58,Gold,24/12/1964,9046393935
C00142,Laurie,Reese,lauriereese@outlook.com,18653 Lisa Well,Port Harcourt,569101,16/05/2024,,Gold,29/04/1954,8237504734
C00143,James,Byrd,byrd.j@outlook.com,591 Tracy Lights,Port Harcourt,,15/09/2023,,Standard,15/09/1970,8260802977
C00144,Juan,Miller,juan_miller@techie.com,280 David Crossing,Port Harcourt,167934,24/08/2024,,Silver,23/03/1995,8168244780
C00145,Amanda,Hutchinson,hutchinson.a@outlook.com,"211 Barrett Glen Apt. 485, Edo",Benin City,437418,19/02/2024,12/06/2024 16:01,Bronze,01/01/1900,7021368198
C00146,Elizabeth,Everett,elizabeth.everett@aol.com,"08636 Jordan Spur, Lagos",Lagos,606496,23/10/2024,01/09/2025 21:29,Silver,07/08/1946,7027683438
C00147,Patricia,Jenkins,patricia.jenkins@engineer.com,8713 Susan Turnpike Suite 675,Port Harcourt,239016,15/03/2025,,Gold,29/03/1990,9072256437
C00148,Amber,Spears,amber.spears@hotmail.com,"86780 Denise Trail Suite 269, FCT",Abuja,197566,28/01/2025,5/15/2025 18:59,Bronze,03/02/1964,8268678794
C00149,Kimberly,Petersen,kimberly_petersen@yahoo.com,5294 John Freeway Apt. 067,Lagos,435661,15/01/2024,5/16/2024 9:01,Regular,05/04/1970,7116773109
C00150,Matthew,Castillo,matthewcastillo@yahoo.com,387 Mark Vista Suite 066,Lagos,455173,01/09/2023,06/05/2024 16:52,Standard,,8011775199
C00151,Kristin,Hutchinson,hutchinson.k@mail.com,"5067 Charles River, Enugu",Enugu,,13/09/2023,10/20/2024 0:16,VIP,03/05/1954,8134514341
C00152,Andrew,Wagner,andrew.wagner@aol.com,244 Keith Estate Suite 376,Jos,669917,07/10/2023,6/22/2024 3:28,Platinum_v2,28/02/1959,9088463755
C00153,Jessica,Lane,jessica.lane@gmail.com,9853 Andrea Groves Apt. 907,Lagos,531581,09/05/2024,9/22/2024 11:53,VIP,24/08/1977,8134351294
C00154,Carlos,Chambers,cchambers@consultant.com,133 Morris Harbor Suite 528,Kaduna,832790,28/12/2024,04/03/2025 18:51,VIP,16/11/1975,9080525652
C00155,Alexander,Daniels,alexander.daniels@engineer.com,211 Smith Shores,Port Harcourt,595042,20/09/2024,5/14/2025 2:46,Bronze,,9060986799
C00156,Jerry,Rice,jrice@aol.com,"795 Danielle Viaduct, Rivers",Port Harcourt,,17/12/2023,7/19/2024 1:59,Bronze,07/05/1965,8285982335
C00157,Joseph,Taylor,taylor.j@beta.ng,044 Thomas Rapids Suite 081,Lagos,243754,10/02/2024,,Silver,21/01/1993,9094821537
C00158,Mark,Lee,mark.lee@aol.com,493 Barnett Burg Apt. 389,Port Harcourt,247567,17/12/2024,3/30/2025 8:37,,01/09/1963,9087995132
C00159,Steven,Adams,steven.adams@mail.com,967 Brenda Cape Apt. 274,Port Harcourt,108829,16/05/2025,,New (old),,8086472770
C00160,Candace,Park,candace.park@yahoo.com,"06006 Davies Road, Rivers",Port Harcourt,691406,02/07/2024,3/23/2025 1:39,New,04/02/1951,8223355060
C00161,Gloria,Williams,gloriawilliams@aol.com,5916 Newman Islands Suite 667_v2,Port Harcourt,603531,18/02/2024,09/01/2024 15:19,VIP,01/01/1900,9149589210
C00162,Holly,Greene,hgreene@mail.ng,8920 Dudley Ports Apt. 321,Port Harcourt,500989,21/04/2024,09/02/2024 05:46,VIP,01/01/1900,7017230955
C00163,Spencer,Smith,spencersmith@yahoo.com,01059 Fischer Trail,Ibadan,735035,15/06/2024,11/01/2024 03:48,Platinum,01/01/1900,8082388776
C00164,Joseph,Mullen,jmullen@gmail.com,"5844 Sonia Run, FCT",Abuja,633725,17/11/2024,4/20/2025 20:30,Gold,15/02/1941,7179602595
C00165,Michael,Walton,michael.walton@beta.ng,"95489 Bishop Ranch, Rivers",Port Harcourt,140596,17/02/2024,04/12/2024 01:37,Platinum,30/09/1954,
C00166,Tina,Crawford,tina.crawford@yahoo.com,4577 Berry Island Suite 164,Lagos,223302,16/09/2023,10/15/2023 6:38,Silver ,23/10/1989,8063033251
C00167,Robert,Martin,robert.martin@hotmail.com,7970 Bryant Avenue Apt. 359,Port Harcourt,880780,05/02/2025,4/15/2025 11:43,Silver,19/04/1986,8267993088
C00168,Jacqueline,Mack,jacquelinemack@gmail.com,8769 Smith Crest,Port Harcourt,124499,05/10/2024,2/21/2025 4:14,Gold,10/09/1963,8063126632
C00169,Allison,Ortiz,aortiz@mail.com,"09807 Grace Underpass Suite 054, Edo",Benin City,877404,24/12/2024,4/23/2025 8:51,Silver,19/01/1971,8006854014
C00170,Oscar,Davidson,oscar.davidson@mail.com,4316 Maria Valleys Apt. 666,Uyo,411261,18/11/2024,12/25/2024 21:54,Standard,23/08/1937,8226942547
